Issue Type,Summary,Description,Epic Link,Sprint,Assignee,Story Points,Labels
Sub-task,HU-28.1 Reproductor de audio y gestion de estados,"Subtarea de HU-28. AudioPlayer en src/audio, sin autoplay: RNF-008. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,5,S5;E3;audio;resp-david-beltran
Sub-task,HU-28.2 Presentacion de la transcripcion,"Subtarea de HU-28. Accesible desde la ficha, exigido por RNF-006. RESPONSABLE: Alberto Aleman.",E3 Puntos de interes fichas 3D y sonido,S5,Alberto Aleman,2,S5;E3;ui-ux;resp-alberto-aleman
Sub-task,HU-28.3 Disenar los controles de audio,"Subtarea de HU-28. Reproducir, pausar, ver transcripcion. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S5,Eybar Viasus,2,S5;E3;ui-ux;resp-eybar-viasus
Story,HU-46 Ambientacion sonora binaural con audio espacial 3D,"Como visitante quiero oir el sendero mientras lo recorro, y oir la quebrada donde la quebrada esta. Implementa RF-028 y RNF-016, definidos en ADR-003. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) lecho ambiente continuo en estereo, no posicional; (2) fuentes puntuales con panningModel HRTF ancladas a coordenadas reales del tramo; (3) el oyente es la camara: al girar y avanzar, el sonido se reorienta solo; (4) NADA suena antes del gesto explicito de iniciar el recorrido, y el boton ofrece iniciar en silencio; (5) control de silencio siempre visible en el HUD y preferencia recordada entre visitas; (6) maximo de fuentes simultaneas respetado segun QualityProfile; (7) las fuentes se declaran en config/soundscape.json SIN tocar codigo; (8) verificado que no rompe los 30 fps.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,13,S5;E3;audio;resp-david-beltran
Sub-task,HU-46.1 Implementar AmbienceController,"Subtarea de HU-46. Lecho continuo, arranque por gesto, silencio y persistencia de la preferencia. Nuevo modulo en src/audio. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,5,S5;E3;audio;resp-david-beltran
Sub-task,HU-46.2 Implementar SpatialAudioSource con HRTF,"Subtarea de HU-46. SoundComponent positional con panningModel HRTF, distanceModel, refDistance y maxDistance. Respeta maxSpatialAudioSources. Cierra A2. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,5,S5;E3;audio;resp-david-beltran
Sub-task,HU-46.3 Publicar soundscape.json y validar el esquema,"Subtarea de HU-46. Anadir una fuente sonora no debe tocar codigo, igual que un POI. RESPONSABLE: Juan Urrego.",E3 Puntos de interes fichas 3D y sonido,S5,Juan Urrego,2,S5;E3;docs;audio;resp-juan-urrego
Sub-task,HU-46.4 Disenar el control de silencio y el boton de inicio,"Subtarea de HU-46. El boton anuncia que va a sonar y ofrece iniciar en silencio. El control de silencio esta siempre visible. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S5,Eybar Viasus,2,S5;E3;ui-ux;audio;resp-eybar-viasus
Story,HU-29 Anadir un POI editando solo pois.json,"Como equipo de contenido quiero anadir un POI sin tocar el motor. Implementa RF-021 y RNF-009. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) se puede anadir un POI declarandolo en pois.json SIN tocar el motor, incluidos los de tipo patrimonio; (2) no requiere recompilar; (3) documentado con un ejemplo completo de cada tipo: fauna, flora y patrimonio; (4) probado por alguien que no escribio el sistema de POIs; (5) el esquema falla con mensaje claro, nunca en silencio.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,5,S5;E3;docs;resp-david-beltran
Sub-task,HU-29.1 Carga declarativa de POIs,"Subtarea de HU-29. PoiManager.loadFromConfig con validacion de esquema. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,3,S5;E3;resp-david-beltran
Sub-task,HU-29.2 Documentar el contrato y validar el esquema,"Subtarea de HU-29. Fallar con mensaje claro, nunca en silencio. RESPONSABLE: Juan Urrego.",E3 Puntos de interes fichas 3D y sonido,S5,Juan Urrego,2,S5;E3;docs;resp-juan-urrego
Sub-task,HU-29.3 Prueba real anadiendo un POI sin ayuda,"Subtarea de HU-29. Si necesita ayuda o toca codigo, RNF-009 no se cumple. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S5,Felipe Acevedo,1,S5;E3;resp-felipe-acevedo
Story,HU-30 Volver a la posicion al cerrar la ficha,"Como visitante quiero volver exactamente donde estaba al cerrar la ficha. Implementa RF-018. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) al cerrar la ficha el usuario vuelve exactamente a donde estaba; (2) se conserva posicion y orientacion de camara; (3) el audio de la ficha se detiene al cerrar; (4) la ambientacion sonora NO se corta al abrir ni al cerrar la ficha.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,3,S5;E3;resp-david-beltran
Sub-task,HU-30.1 Guardar y restaurar el estado de camara,"Subtarea de HU-30. TourEngine.saveCameraState y restoreCameraState: es la frontera 2. PoiCard pide, no toca. RESPONSABLE: David Beltran.",E3 Puntos de interes fichas 3D y sonido,S5,David Beltran,2,S5;E3;resp-david-beltran
Sub-task,HU-30.2 Coordinar con el motor de recorrido,"Subtarea de HU-30. Respetar el invariante de que solo TourEngine mueve la camara. RESPONSABLE: Alejandra Chambueta.",E3 Puntos de interes fichas 3D y sonido,S5,Alejandra Chambueta,1,S5;E3;resp-alejandra-chambueta
Story,HU-31 Consumir el track GPS,"Como sistema debo alimentar la capa de datos con el track real capturado en campo. Implementa RF-020. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) el track GPS alimenta la capa de datos; (2) el track esta alineado y escalado contra la geometria reconstruida, cierra V9 junto con V4; (3) la posicion del usuario se corresponde con un punto del track; (4) las cifras del tramo son las MEDIDAS EN V1 para los 200 m, no las del tramo de referencia de 340 m; (5) TrailDataLayer no importa nada de PlayCanvas.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,13,S6;E4;resp-david-beltran
Sub-task,HU-31.1 Lectura y proyeccion del track sobre el trazado,"Subtarea de HU-31. GpsTrack y TrailDataLayer. distanceMeters es la coordenada maestra. RESPONSABLE: David Beltran.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,8,S6;E4;resp-david-beltran
Sub-task,HU-31.2 Alineacion y escalado definitivos escena y track,"Subtarea de HU-31. Nunca asumir que 1 unidad del motor es 1 metro. RESPONSABLE: Juan Urrego.",E4 Capa de datos y experiencia de usuario,S6,Juan Urrego,5,S6;E4;resp-juan-urrego
Sub-task,HU-31.3 Definir la precision que se muestra en pantalla,"Subtarea de HU-31. Cuantos decimales y con que redondeo. Cifras tabulares para que el numero no salte. RESPONSABLE: Eybar Viasus.",E4 Capa de datos y experiencia de usuario,S6,Eybar Viasus,2,S6;E4;ui-ux;resp-eybar-viasus
Sub-task,HU-31.4 Exponer la distancia recorrida desde el motor,"Subtarea de HU-31. TourEngine publica distanceMeters en tour:progress con la precision que exige la capa de datos. Es la frontera 1 entre src/engine y src/data: sin esto David no puede calcular nada. RESPONSABLE: Alejandra Chambueta.",E4 Capa de datos y experiencia de usuario,S6,Alejandra Chambueta,2,S6;E4;resp-alejandra-chambueta
Story,HU-32 Altitud sobre el nivel del mar,"Como visitante quiero ver a que altura estoy. Implementa RF-013. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) se muestra la altitud de la posicion actual en msnm; (2) se actualiza al avanzar; (3) el dato se deriva del track, no es fijo.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,3,S6;E4;resp-david-beltran
Sub-task,HU-32.1 Calculo y actualizacion de altitud,"Subtarea de HU-32. TrailDataLayer.altitudeAt por interpolacion sobre el track. RESPONSABLE: David Beltran.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,2,S6;E4;resp-david-beltran
Sub-task,HU-32.2 Presentacion del dato en el HUD,"Subtarea de HU-32. HudView en src/ui, con el verde-azulado de los datos. RESPONSABLE: Juan Urrego.",E4 Capa de datos y experiencia de usuario,S6,Juan Urrego,1,S6;E4;ui-ux;resp-juan-urrego
Story,HU-33 Distancia recorrida y restante,"Como visitante quiero saber cuanto llevo y cuanto me falta. Implementa RF-014. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) distancia recorrida y restante visibles y actualizadas; (2) suman los 200 m del tramo; (3) unidades en metros.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,5,S6;E4;resp-david-beltran
Sub-task,HU-33.1 Calculo de distancias sobre el track,"Subtarea de HU-33. distanceCovered y distanceRemaining. RESPONSABLE: David Beltran.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,3,S6;E4;resp-david-beltran
Sub-task,HU-33.2 Presentacion en el HUD,"Subtarea de HU-33. Que se lea de un vistazo mientras se avanza. RESPONSABLE: Eybar Viasus.",E4 Capa de datos y experiencia de usuario,S6,Eybar Viasus,2,S6;E4;ui-ux;resp-eybar-viasus
Story,HU-34 Desnivel acumulado y pendiente,"Como visitante quiero saber cuanto he subido y que tan empinado va. Implementa RF-015. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) desnivel acumulado desde el inicio en metros; (2) pendiente actual en porcentaje; (3) coherentes con las cifras reales medidas en V1.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,5,S6;E4;resp-david-beltran
Sub-task,HU-34.1 Calculo de desnivel y pendiente,"Subtarea de HU-34. elevationGain y currentSlope. RESPONSABLE: David Beltran.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,3,S6;E4;resp-david-beltran
Sub-task,HU-34.2 Explicar el dato para quien no es caminante,"Subtarea de HU-34. El desnivel no se imagina: hay que darle sentido. RESPONSABLE: Alberto Aleman.",E4 Capa de datos y experiencia de usuario,S6,Alberto Aleman,2,S6;E4;ui-ux;resp-alberto-aleman
Sub-task,HU-34.3 Medir el rendimiento con el HUD y el audio activos,"Subtarea de HU-34. El HUD se redibuja en cada avance y la ambientacion espacial consume CPU. Volver a medir los 30 fps con TODO encendido, no solo con la escena. Si no se sostienen, ajustar el perfil de calidad. RESPONSABLE: Alejandra Chambueta.",E4 Capa de datos y experiencia de usuario,S6,Alejandra Chambueta,3,S6;E4;rendimiento;resp-alejandra-chambueta
Story,HU-35 Tiempo estimado hasta el siguiente punto,"Como visitante quiero saber cuanto falta para el proximo punto de interes. Implementa RF-016. RESPONSABLE: David Beltran. Criterios de aceptacion: (1) se muestra el tiempo estimado hasta el proximo POI; (2) se recalcula al avanzar y al pasar un POI; (3) la estimacion considera la pendiente, no solo la distancia.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,5,S6;E4;resp-david-beltran
Sub-task,HU-35.1 Modelo de estimacion de tiempo,"Subtarea de HU-35. etaToNextPoi considerando pendiente. RESPONSABLE: David Beltran.",E4 Capa de datos y experiencia de usuario,S6,David Beltran,3,S6;E4;resp-david-beltran
Sub-task,HU-35.2 Presentacion del dato,"Subtarea de HU-35. En el HUD, junto al resto de la capa de datos. RESPONSABLE: Eybar Viasus.",E4 Capa de datos y experiencia de usuario,S6,Eybar Viasus,1,S6;E4;ui-ux;resp-eybar-viasus
Sub-task,HU-35.3 Validar que la cifra se entiende sin explicacion,"Subtarea de HU-35. Prueba rapida con alguien ajeno al equipo. RESPONSABLE: Alberto Aleman.",E4 Capa de datos y experiencia de usuario,S6,Alberto Aleman,1,S6;E4;ui-ux;resp-alberto-aleman
Story,HU-51 Segunda pasada de optimizacion de los assets 3D,"El presupuesto de triangulos y peso se fijo en S2b con una estimacion. Despues de medir los fps reales en S4 y de integrar los POIs en S5 ya hay numeros de verdad, asi que hay que revisarlo. RESPONSABLE: Felipe Acevedo. Criterios de aceptacion: (1) medido el coste real de cada modelo dentro de la escena integrada, no aislado; (2) identificados los modelos que se pasan del presupuesto; (3) reoptimizados y reexportados sin perder identificabilidad de la especie; (4) RNF-012 actualizado con el numero definitivo; (5) los 30 fps se sostienen con todos los POIs cargados.",E3 Puntos de interes fichas 3D y sonido,S6,Felipe Acevedo,5,S6;E3;3d-asset;rendimiento;resp-felipe-acevedo
Sub-task,HU-51.1 Medir el coste real de los modelos en la escena integrada,"Subtarea de HU-51. Perfilar con los POIs cargados sobre la escena, que es el caso real, no el visor aislado. RESPONSABLE: Alejandra Chambueta.",E3 Puntos de interes fichas 3D y sonido,S6,Alejandra Chambueta,2,S6;E3;rendimiento;resp-alejandra-chambueta
Sub-task,HU-51.2 Reoptimizar y reexportar los modelos fuera de presupuesto,"Subtarea de HU-51. Reducir geometria sin perder el color ni la forma que hacen reconocible a la especie. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S6,Felipe Acevedo,3,S6;E3;3d-asset;resp-felipe-acevedo
Story,HU-36 Onboarding la primera vez,"Como visitante nuevo quiero que me expliquen como usar la app. Implementa RF-026 y RNF-005. RESPONSABLE: Alberto Aleman. Criterios de aceptacion: (1) la primera vez se explica como avanzar, como mirar y como abrir una ficha; (2) es breve y se puede omitir; (3) no se repite en visitas siguientes; (4) NO suena nada durante el onboarding, lo exige RNF-008; (5) 4 de 5 personas sin experiencia previa inician el recorrido y abren una ficha SIN instrucciones.",E4 Capa de datos y experiencia de usuario,S7,Alberto Aleman,8,S7;E4;ui-ux;resp-alberto-aleman
Sub-task,HU-36.1 Disenar y redactar el onboarding,"Subtarea de HU-36. Breve, en espanol y omitible. RESPONSABLE: Alberto Aleman.",E4 Capa de datos y experiencia de usuario,S7,Alberto Aleman,3,S7;E4;ui-ux;resp-alberto-aleman
Sub-task,HU-36.2 Integrar con el sistema de diseno,"Subtarea de HU-36. Mismos tokens y componentes que el resto de la interfaz. RESPONSABLE: Eybar Viasus.",E4 Capa de datos y experiencia de usuario,S7,Eybar Viasus,2,S7;E4;ui-ux;resp-eybar-viasus
Sub-task,HU-36.3 Implementar y persistir el ya visto,"Subtarea de HU-36. Que no se repita en visitas siguientes. Va en src/app. RESPONSABLE: Juan Urrego.",E4 Capa de datos y experiencia de usuario,S7,Juan Urrego,2,S7;E4;resp-juan-urrego
Sub-task,HU-36.4 Prueba con 5 usuarios reales,"Subtarea de HU-36. Criterio de exito E10: 4 de 5 lo logran sin instrucciones. RESPONSABLE: Alberto Aleman.",E4 Capa de datos y experiencia de usuario,S7,Alberto Aleman,3,S7;E4;ui-ux;resp-alberto-aleman
Story,HU-37 Responsive en celular,"Como visitante en celular quiero una interfaz adaptada a mi pantalla. Implementa RF-019 y RNF-004. RESPONSABLE: Alberto Aleman. Criterios de aceptacion: (1) interfaz adaptada desde 375 px de ancho; (2) objetivos tactiles suficientes y nada depende de hover; (3) ficha, HUD, control de silencio y marcadores usables en pantalla pequena; (4) verificado en Chrome Android y Safari iOS vigentes.",E4 Capa de datos y experiencia de usuario,S7,Alberto Aleman,13,S7;E4;ui-ux;resp-alberto-aleman
Sub-task,HU-37.1 Layouts responsive de todas las pantallas,"Subtarea de HU-37. Desde 375 px de ancho. RESPONSABLE: Alberto Aleman.",E4 Capa de datos y experiencia de usuario,S7,Alberto Aleman,5,S7;E4;ui-ux;resp-alberto-aleman
Sub-task,HU-37.2 Adaptar componentes del sistema de diseno,"Subtarea de HU-37. Variantes movil de ficha, HUD y marcadores. RESPONSABLE: Eybar Viasus.",E4 Capa de datos y experiencia de usuario,S7,Eybar Viasus,3,S7;E4;ui-ux;resp-eybar-viasus
Sub-task,HU-37.3 Ajustes de motor para pantalla pequena,"Subtarea de HU-37. Coordinar con QualityProfile, device pixel ratio y el numero de fuentes de audio. RESPONSABLE: Alejandra Chambueta.",E4 Capa de datos y experiencia de usuario,S7,Alejandra Chambueta,3,S7;E4;resp-alejandra-chambueta
Sub-task,HU-37.4 Pruebas en dispositivos reales,"Subtarea de HU-37. Chrome Android y Safari iOS, con audio activo. RESPONSABLE: David Beltran.",E4 Capa de datos y experiencia de usuario,S7,David Beltran,2,S7;E4;resp-david-beltran
Story,HU-38 Accesibilidad,"Como visitante necesito poder leer y entender el contenido. Implementa RNF-006 y RNF-010. RESPONSABLE: Alberto Aleman. Criterios de aceptacion: (1) contraste AA en todos los textos de las fichas, verificado contra los tokens; (2) toda narracion tiene transcripcion accesible; (3) tamanos de texto legibles en movil, nunca por debajo de 16 px en el cuerpo; (4) ningun dato se comunica solo por color: los marcadores y los estados de error tambien se distinguen por forma; (5) la experiencia completa es utilizable con la ambientacion sonora desactivada.",E4 Capa de datos y experiencia de usuario,S7,Alberto Aleman,8,S7;E4;ui-ux;resp-alberto-aleman
Sub-task,HU-38.1 Auditoria de contraste y tamanos,"Subtarea de HU-38. Verificar AA en todos los textos contra la tabla de docs/06-identidad-visual.md. RESPONSABLE: Alberto Aleman.",E4 Capa de datos y experiencia de usuario,S7,Alberto Aleman,3,S7;E4;ui-ux;resp-alberto-aleman
Sub-task,HU-38.2 Corregir la paleta donde no cumpla,"Subtarea de HU-38. Ajustar tokens de color del sistema de diseno. RESPONSABLE: Eybar Viasus.",E4 Capa de datos y experiencia de usuario,S7,Eybar Viasus,3,S7;E4;ui-ux;resp-eybar-viasus
Sub-task,HU-38.3 Exponer las transcripciones en la interfaz,"Subtarea de HU-38. Accesibles desde cada ficha con narracion. RESPONSABLE: David Beltran.",E4 Capa de datos y experiencia de usuario,S7,David Beltran,2,S7;E4;resp-david-beltran
Story,HU-39 Consolidar el sistema de diseno,"Como equipo necesitamos una interfaz coherente. Implementa RNF-005, RNF-010 y RF-032. RESPONSABLE: Eybar Viasus. Criterios de aceptacion: (1) tokens de color, tipografia y espaciado aplicados en toda la interfaz; (2) componentes documentados y sin variantes sueltas; (3) textos revisados, todos en espanol y coherentes en tono; (4) ningun archivo .js escribe un color literal.",E4 Capa de datos y experiencia de usuario,S7,Eybar Viasus,8,S7;E4;ui-ux;resp-eybar-viasus
Sub-task,HU-39.1 Consolidar el sistema de diseno,"Subtarea de HU-39. Tokens y componentes documentados en styles/. RESPONSABLE: Eybar Viasus.",E4 Capa de datos y experiencia de usuario,S7,Eybar Viasus,5,S7;E4;ui-ux;resp-eybar-viasus
Sub-task,HU-39.2 Revisar textos y coherencia de tono,"Subtarea de HU-39. Todo en espanol, mismo registro. RESPONSABLE: Alberto Aleman.",E4 Capa de datos y experiencia de usuario,S7,Alberto Aleman,2,S7;E4;ui-ux;resp-alberto-aleman
Sub-task,HU-39.3 Aplicar el sistema en los componentes del motor,"Subtarea de HU-39. Estados de carga, error y HUD. RESPONSABLE: Juan Urrego.",E4 Capa de datos y experiencia de usuario,S7,Juan Urrego,2,S7;E4;ui-ux;resp-juan-urrego
Story,HU-52 Cierre visual del catalogo 3D con el sistema de diseno,"Los modelos se hicieron antes de que existiera la paleta definitiva. Hay que comprobar que se leen sobre los fondos reales de la ficha y en pantalla pequena, y dejar el export final. RESPONSABLE: Felipe Acevedo. Criterios de aceptacion: (1) cada modelo verificado sobre el fondo real de la ficha con la paleta definitiva; (2) los que no contrasten se ajustan en material o en iluminacion del visor; (3) legibles a 375 px de ancho; (4) export final versionado con fecha y origen, exigido por RNF-011; (5) el conjunto se lee como una misma familia visual.",E3 Puntos de interes fichas 3D y sonido,S7,Felipe Acevedo,5,S7;E3;3d-asset;ui-ux;resp-felipe-acevedo
Sub-task,HU-52.1 Verificar los modelos contra la paleta y la tipografia definitivas,"Subtarea de HU-52. Un ave verde sobre un fondo verde no se ve: aqui es donde se descubre. RESPONSABLE: Felipe Acevedo.",E3 Puntos de interes fichas 3D y sonido,S7,Felipe Acevedo,3,S7;E3;3d-asset;resp-felipe-acevedo
Sub-task,HU-52.2 Revisar la legibilidad de los modelos a 375 px,"Subtarea de HU-52. El visor de ficha en movil es mucho mas pequeno que en escritorio. RESPONSABLE: Eybar Viasus.",E3 Puntos de interes fichas 3D y sonido,S7,Eybar Viasus,2,S7;E3;ui-ux;resp-eybar-viasus
Story,HU-40 Integracion final y pruebas cruzadas,"Como equipo necesitamos entregar el producto integrado y verificado. Implementa todos los RF y RNF. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) todas las ramas de epica fusionadas en develop y de ahi a main; (2) recorrido completo de 200 m de extremo a extremo sin errores; (3) probado en Chrome, Safari y Firefox, escritorio y movil; (4) los RNF medibles verificados uno por uno, incluidos RNF-016 y el contraste de la paleta; (5) ningun RF entregado sin su CUS y su historia.",E1 Captura y reconstruccion del tramo,Cierre,Juan Urrego,13,E1;docs;resp-juan-urrego
Sub-task,HU-40.1 Integracion y resolucion de conflictos,"Subtarea de HU-40. Fusionar las cuatro ramas de epica. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,Cierre,Juan Urrego,5,E1;resp-juan-urrego
Sub-task,HU-40.2 Verificar RNF de rendimiento y compatibilidad,"Subtarea de HU-40. RNF-001, RNF-002, RNF-004 y RNF-016. RESPONSABLE: Alejandra Chambueta.",E1 Captura y reconstruccion del tramo,Cierre,Alejandra Chambueta,3,E1;rendimiento;resp-alejandra-chambueta
Sub-task,HU-40.3 Verificacion funcional de POIs capa de datos y audio,"Subtarea de HU-40. Los 5 o 6 POIs, el HUD completo y la ambientacion espacial. RESPONSABLE: David Beltran.",E1 Captura y reconstruccion del tramo,Cierre,David Beltran,3,E1;resp-david-beltran
Sub-task,HU-40.4 Verificacion de accesibilidad y responsive,"Subtarea de HU-40. RNF-006 y RF-019. RESPONSABLE: Alberto Aleman.",E1 Captura y reconstruccion del tramo,Cierre,Alberto Aleman,2,E1;ui-ux;resp-alberto-aleman
Sub-task,HU-40.5 Revision visual final,"Subtarea de HU-40. Coherencia del sistema de diseno en toda la app. RESPONSABLE: Eybar Viasus.",E1 Captura y reconstruccion del tramo,Cierre,Eybar Viasus,2,E1;ui-ux;resp-eybar-viasus
Sub-task,HU-40.6 Revision de contenido de todas las fichas,"Subtarea de HU-40. Nombres cientificos, rangos de altitud y notas historicas verificados. Nada publicado sin fuente. RESPONSABLE: Felipe Acevedo.",E1 Captura y reconstruccion del tramo,Cierre,Felipe Acevedo,2,E1;3d-asset;docs;resp-felipe-acevedo
Story,HU-41 Despliegue y entrega documental,"Como equipo necesitamos publicar el producto y cerrar la documentacion. Implementa RNF-014 y RNF-004. RESPONSABLE: Juan Urrego. Criterios de aceptacion: (1) desplegado en hosting estatico con HTTPS; (2) assets con politica de cache adecuada; (3) documentacion actualizada: requerimientos, arquitectura, plan y los cuatro ADRs; (4) docs/03-avances-tecnologia.md cerrado con los resultados reales de las validaciones V1 a V14 y A1 a A5.",E1 Captura y reconstruccion del tramo,Cierre,Juan Urrego,8,E1;docs;resp-juan-urrego
Sub-task,HU-41.1 Desplegar y configurar el hosting,"Subtarea de HU-41. Sitio estatico con HTTPS y cache de assets. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,Cierre,Juan Urrego,3,E1;resp-juan-urrego
Sub-task,HU-41.2 Actualizacion final de la documentacion,"Subtarea de HU-41. Cerrar todas las validaciones pendientes con resultados reales. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,Cierre,Juan Urrego,3,E1;docs;resp-juan-urrego
Sub-task,HU-41.3 Revision final de la entrega por el equipo,"Subtarea de HU-41. Revision conjunta antes de entregar. RESPONSABLE: Juan Urrego.",E1 Captura y reconstruccion del tramo,Cierre,Juan Urrego,2,E1;docs;resp-juan-urrego
